tool             tier(s)            nodes   flags   %described     ms  status
isosize          help                   1       4         100%      2  ok
jar              carapace+help         44      23         100%    123  ok
jarsigner        help                   6       0            —    141  ok
java             carapace+help          1      29          97%     81  ok
javac            carapace+help         42      32         100%    289  ok
javadoc          help                  39      47         100%    302  ok
javap            help                   4      20         100%    161  ok
javax2jakarta    help                   1       5         100%    121  ok
jcmd             help                   1       0            —     61  ok
jconsole         help                   1       0            —  20014  ok
jdb              help                   1      15          87%    122  ok
jdeprscan        help                   2       5           0%    345  low-confidence
jdeps            help                   1      51          76%    161  ok
jexec            help                   1       0            —      1  ok
jfr              help                   9       0            —    102  ok
jhsdb            help                   4       0            —    121  ok
jimage           help                   5       5          80%    226  ok
jinfo            help                   1       6          67%     84  ok
jlink            help                  10       8         100%    185  ok
jmap             help                  10       0            —    100  ok
jmod             help                   6      19         100%    184  ok
join             carapace+help          1      15         100%     20  ok
journalctl       carapace+help          1      62         100%     20  ok
jpackage         help                  17      28         100%    230  ok
jps              help                   3       0            —    104  ok
jq               carapace+help          1      27         100%      2  ok
jrunscript       help                   1      11          91%    141  ok
jshell           help                   2      17         100%    181  ok
json-patch-jsondiff help                   3       3         100%     60  ok
json_pp          help                   1       0            —     40  ok
jsondiff         help                   3       3         100%     40  ok
jsonpatch        help                   3       6         100%     42  ok
jsonpointer      help                   3       4         100%     40  ok
jsonschema       help                   2       7         100%    163  ok
jstack           help                   1       3          67%     83  ok
jstat            help                   9       0            —     81  ok
jstatd           help                   1       0            —     80  ok
kbd_mode         help                   1       8         100%     20  ok
kbdinfo          help                   1       3         100%     20  ok
kbdrate          help                   1       6         100%     20  ok
kbxutil          help                   1       8         100%     20  ok
kernel-install   help                   7       2         100%     20  ok
key.dns_resolver help                   1       0            —     20  ok
keyctl           help                   1       0            —      0  ok
keyring          help                   4       8         100%    141  ok
keytool          carapace+help          1      11         100%    263  ok
kill             carapace+help          8       0            —     20  ok
killall          carapace+help          3      15         100%     20  ok
killall5         help                   1       0            —     40  ok
kmod             help                  10       2         100%     20  ok
kmodsign         help                   1       4         100%     20  ok
last             carapace+help          1      16         100%     20  ok
lastb            carapace+help          1      15          87%      1  ok
lastlog          carapace+help          1       7         100%     20  ok
lcf              help                   1       5         100%     20  ok
ld               help                   1     386          98%     36  ok
ld.bfd           help                   1     386          98%     36  ok
ld.gold          help                   1     291          97%     22  ok
ld.so            help                  28      14         100%      0  ok
ldattach         help                   8      14          93%     20  ok
ldconfig         help                   1      13         100%     20  ok
ldconfig.real    help                   1      13         100%     20  ok
ldd              help                   1       0            —     20  ok
less             help                  65       4           0%     20  low-confidence
lessecho         help                   1       0            —     20  ok
lessfile         help                   1       0            —     40  ok
lesskey          help                   1       0            —     20  ok
lesspipe         help                   1       0            —     40  ok
letsencrypt      help                  27       5         100%    342  ok
libgcrypt-config help                   7       0            —     20  ok
libnetcfg        help                   1       0            —    103  ok
libpng-config    help                   1      14         100%     20  ok
libpng16-config  help                   1      14         100%     20  ok
libtool          help                  19       9         100%    146  ok
libtoolize       help                  10      12         100%    121  ok
link             carapace+help          1       2         100%     20  ok
linux-check-removal help                  23       0            —     20  ok
linux-update-symlinks help                  24       0            —     40  ok
linux-version    help                   1       0            —     43  ok
linux32          help                   1      13          92%     20  ok
linux64          help                   1      13          92%     20  ok
listres          help                   1       0            —     20  ok
llc-18           help                  11     223         100%     21  ok
lli-18           help                  11     229         100%     21  ok
lli-child-target-18 help                   1       0            —     20  ok
llvm-PerfectShuffle-18 help                   1       0            —  10018  ok
llvm-addr2line-18 help                   1      46          96%     20  ok
llvm-ar-18       help                  28       8         100%     21  ok
llvm-as-18       help                   1       8          88%     20  ok
llvm-bcanalyzer-18 help                   1      11          82%     20  ok
llvm-bitcode-strip-18 help                   1       4          50%     21  ok
llvm-c-test-18   help                  20       0            —     20  ok
llvm-cat-18      help                   1       5          80%     21  ok
llvm-cfi-verify-18 help                   1       8          88%     20  ok
llvm-config-18   help                   6      27         100%     21  ok
llvm-cov-18      help                   5       0            —     20  ok
llvm-cvtres-18   help                   1       0            —     20  ok
llvm-cxxdump-18  help                   1       4          75%     20  ok
llvm-cxxfilt-18  help                   1      13          92%     20  ok
llvm-cxxmap-18   help                   1       8          88%     20  ok
llvm-debuginfo-analyzer-18 help                   1       4         100%     20  ok
llvm-debuginfod-18 help                   1       8          75%     20  ok
llvm-debuginfod-find-18 help                   1       8          88%     20  ok
llvm-diff-18     help                   1       4          75%     20  ok
llvm-dis-18      help                   1       8          88%     20  ok
llvm-dlltool-18  help                   1       9          89%     20  ok
llvm-dwarfdump-18 help                   1      67          99%     20  ok
llvm-dwarfutil-18 help                   1      19          89%     20  ok
llvm-dwp-18      help                   1       6          67%     21  ok
llvm-exegesis-18 help                   1      34          97%     20  ok
llvm-extract-18  help                   1      15         100%     20  ok
llvm-gsymutil-18 help                   1      15          93%     20  ok
llvm-ifs-18      help                   1      27          96%     20  ok
llvm-install-name-tool-18 help                   1       9          89%     21  ok
llvm-jitlink-18  help                   1      36          97%     20  ok
llvm-jitlink-executor-18 help                   1       0            —      3  ok
llvm-lib-18      help                   3       0            —     20  ok
llvm-libtool-darwin-18 help                   1      14          93%     20  ok
llvm-link-18     help                   1      15          93%     20  ok
llvm-lipo-18     help                   1      12          92%     20  ok
llvm-lto-18      help                   1      33          97%     20  ok
llvm-lto2-18     help                   1       0            —     20  ok
llvm-mc-18       help                   1      34          97%     20  ok
llvm-mca-18      help                   1      34          97%     20  ok
llvm-ml-18       help                   1       0            —     20  ok
llvm-modextract-18 help                   1       7          86%     20  ok
llvm-mt-18       help                   1       0            —     20  ok
llvm-nm-18       help                   1      56          93%     20  ok
llvm-objcopy-18  help                   1      88          97%     20  ok
llvm-objdump-18  help                   1     105          98%     20  ok
llvm-opt-report-18 help                   1       8          88%     20  ok
llvm-otool-18    help                   1      27          96%     20  ok
llvm-pdbutil-18  help                  11       3          67%     20  ok
llvm-profdata-18 help                  16     152          99%     21  ok
llvm-profgen-18  help                   1      11          91%     20  ok
llvm-ranlib-18   help                   1       5         100%     20  ok
llvm-rc-18       help                   1       0            —     20  ok
llvm-readelf-18  help                   1      96          95%     20  ok
llvm-readobj-18  help                   1      96          95%     20  ok
llvm-readtapi-18 help                   1      13          69%     20  ok
llvm-reduce-18   help                   1      20          95%     20  ok
llvm-remarkutil-18 help                  18     152          99%     21  ok
llvm-rtdyld-18   help                   1      12          92%     20  ok
llvm-sim-18      help                  11     153          99%     21  ok
llvm-size-18     help                   1      16          88%     20  ok
llvm-split-18    help                   1       7          86%     20  ok
llvm-stress-18   help                   1       8          88%     20  ok
llvm-strings-18  help                   1      11          91%     20  ok
llvm-strip-18    help                   1      38          97%     20  ok
llvm-symbolizer-18 help                   1      46          96%     20  ok
llvm-tblgen-18   help                   1      28          96%     20  ok
llvm-tli-checker-18 help                   1       7          86%     20  ok
llvm-undname-18  help                   1       4          75%     20  ok
llvm-windres-18  help                   1      16          94%     22  ok
llvm-xray-18     help                  19     152          99%     21  ok
ln               carapace+help          9      17         100%     20  ok
lnstat           help                  10      10          10%     20  low-confidence
loadkeys         help                   1      13         100%     20  ok
loadunimap       help                   1       4         100%     20  ok
locale           carapace+help         10       8         100%     20  ok
locale-check     help                   1       0            —     40  ok
localectl        carapace+help         13       7         100%     20  ok
localedef        help                  12       0            —     20  ok
logger           help                   1      14         100%     20  ok
login            help                   1       0            —     20  ok
loginctl         help                  24      10         100%     20  ok
logname          carapace+help          1       2         100%     20  ok
logsave          help                   1       0            —     20  ok
losetup          help                  10      18         100%     20  ok
lowntfs-3g       help                   3       0            —     20  ok
ls               carapace+help         16      40         100%     20  ok
lsattr           help                   1       0            —     20  ok
lsb_release      carapace+help          1       8         100%     20  ok
lsblk            carapace+help         32      40         100%     20  ok
lscpu            carapace+help         13      16         100%     20  ok
lsinitramfs      help                   1       1         100%     20  ok
lsipc            help                  29       8          88%     20  ok
lslocks          carapace+help          4      12         100%     20  ok
lslogins         carapace+help          9      26         100%     20  ok
lsmem            carapace+help          7      13         100%     20  ok
lsmod            help                   1       0            —     20  ok
lsns             carapace+help         12      16         100%     20  ok
lsof             help                   1      19          79%     20  ok
lspci            help                   1       0            —     20  ok
lspgpot          help                   1       0            —     20  ok
lsusb            carapace+help          1       7         100%     20  ok
lto-dump         help                   4    1755          65%     24  ok
lto-dump-13      help                   4    1755          65%     24  ok
lxc              help                  39       6         100%    161  ok
lxd              help                  10       3         100%    241  ok
lxd.buginfo      help                   1       0            —    162  ok
lxd.check-kernel help                  18       0            —    261  ok
lxd.lxc          help                  39       6         100%    161  ok
lzcat            carapace+help          1      15         100%     20  ok
lzcmp            help                   1       0            —     20  ok
lzdiff           help                   1       0            —     20  ok
lzegrep          help                   1       0            —     20  ok
lzfgrep          help                   1       0            —     20  ok
lzgrep           help                   1       0            —     20  ok
lzless           help                   1       0            —     20  ok
lzma             carapace+help          1      15         100%     20  ok
lzmainfo         help                   1       0            —     20  ok
lzmore           help                   1       0            —     20  ok
m4               help                  24      16         100%     20  ok
make             carapace+help          1      50         100%     20  ok
make-first-existing-target help                   1       0            —     20  ok
makeconv         help                   1       7         100%     20  ok
mako-render      help                   2       5         100%    140  ok
man              carapace+help          1      46         100%     25  ok
mapscrn          help                   1       5         100%     20  ok
mariadb          help                   1      81          95%     22  ok
mariadb-access   help                   7       1         100%     60  ok
mariadb-admin    help                  40      38          92%     20  ok
mariadb-analyze  help                   8      53          98%     20  ok
mariadb-binlog   help                   1      60          97%     20  ok
mariadb-check    help                   8      53          98%     20  ok
mariadb-conv     help                   1       5         100%     20  ok
mariadb-convert-table-format help                  12       0            —     41  ok
mariadb-dump     help                   1     100          98%     20  ok
mariadb-dumpslow help                   1      12         100%     20  ok
mariadb-find-rows help                   6       0            —     20  ok
mariadb-fix-extensions help                   1       0            —     20  ok
mariadb-hotcopy  help                   2       1         100%     60  ok
mariadb-import   help                   1      44          98%     20  ok
mariadb-install-db help                   1       0            —     20  ok
mariadb-optimize help                   8      53          98%     20  ok
mariadb-plugin   help                   1      12         100%     20  ok
mariadb-repair   help                   8      53          98%     20  ok
mariadb-report   help                   1      15         100%     61  ok
mariadb-secure-installation help                  14       0            —  10019  ok
mariadb-service-convert help                   1       0            —    102  ok
mariadb-setpermission help                  29       0            —     40  ok
mariadb-show     help                   1      31          97%     20  ok
mariadb-slap     help                   1      56          98%     20  ok
mariadb-tzinfo-to-sql help                   2       6         100%     20  ok
mariadb-upgrade  help                   1      36          97%     20  ok
mariadb-waitpid  help                   1       4         100%     20  ok
mariadbcheck     help                   8      53          98%     20  ok
mariadbd         help                   1       0            —     43  ok
mariadbd-multi   help                  21       0            —     42  ok
mariadbd-safe    help                   1       0            —     60  ok
mariadbd-safe-helper help                   1       0            —     20  ok
mawk             help                   4      13          85%     20  ok
mbim-network     help                  22       3         100%     20  ok
mbimcli          help                   1      34         100%     20  ok
mcookie          help                   2       5         100%     20  ok
md5sum           carapace+help          1      12         100%     20  ok
md5sum.textutils help                   1      10         100%     20  ok
memusage         help                   1      12         100%     20  ok
memusagestat     help                   1       8         100%     20  ok
mesa-overlay-control.py help                   2       3         100%     41  ok
mesg             help                   1       3         100%     20  ok
migrate-pubring-from-classic-gpg help                   1       0            —     21  ok
mk_modmap        help                   1       0            —     20  ok
mkdir            carapace+help          1       7         100%     21  ok
mkdosfs          help                   1       0            —     20  ok
mke2fs           help                   1       0            —     20  ok
mkfifo           carapace+help          1       5         100%     20  ok
mkfontdir        help                   4       0            —     41  ok
mkfontscale      help                   4       0            —     22  ok
mkfs             carapace+help          1       4         100%     20  ok
mkfs.bfs         help                   1       9         100%      1  ok
mkfs.cramfs      help                   1      13         100%      1  ok
mkfs.ext2        help                   1       0            —     22  ok
mkfs.ext3        help                   1       0            —     31  ok
mkfs.ext4        help                   1       0            —     20  ok
mkfs.fat         help                   1       0            —     20  ok
mkfs.minix       help                   1       9         100%     20  ok
mkfs.msdos       help                   1       0            —     20  ok
mkfs.ntfs        help                   1      19         100%     20  ok
mkfs.vfat        help                   1       0            —     20  ok
mkhomedir_helper help                   1       0            —     40  ok
mkinitramfs      help                   1       6           0%     20  low-confidence
mklost+found     help                   1       0            —     20  ok
mknod            carapace+help          4       5         100%     20  ok
mkntfs           help                   1      19         100%     20  ok
mkpasswd         help                   1       8         100%     20  ok
mksquashfs       help                 147       2           0%     20  low-confidence
mkswap           carapace+help          1      12         100%     20  ok
mktemp           carapace+help          1       9         100%     20  ok
mmcli            help                   1      29         100%     20  ok
modinfo          carapace+help          1      12         100%      1  ok
modprobe         carapace+help          1      29         100%      1  ok
mokutil          help                   1      38           0%     20  low-confidence
more             carapace+help          1      12         100%     20  ok
mount            carapace+help          1      37         100%      1  ok
mount.fuse       help                   1       0            —      0  ok
mount.fuse3      help                   1       0            —     20  ok
mount.lowntfs-3g help                   3       0            —     20  ok
mount.nfs        help                   1       8           0%     20  low-confidence
mount.nfs4       help                   1       8           0%     20  low-confidence
mount.ntfs       help                   3       0            —     20  ok
mount.ntfs-3g    help                   3       0            —     20  ok
mountpoint       help                   1       5         100%      1  ok
mountstats       help                   2       1         100%     60  ok
mpicalc          help                   7       3         100%     20  ok
msql2mysql       help                   1       0            —     20  ok
mt               help                   1       3         100%     20  ok
mt-gnu           help                   1       3         100%     20  ok
mtrace           help                   1       0            —     20  ok
mv               carapace+help          7      16         100%     20  ok
mvn              carapace+help          1      45         100%    203  ok
mvnDebug         help                   1       0            —     60  ok
my_print_defaults help                   1       0            —      1  ok
myisam_ftdump    help                   1       7         100%     20  ok
myisamchk        help                  45       1           0%     20  low-confidence
myisamlog        help                   1       0            —     20  ok
myisampack       help                   1       0            —     20  ok
mysql            help                   1      81          95%     20  ok
mysql_convert_table_format help                  12       0            —     40  ok
mysql_find_rows  help                   6       0            —     20  ok
mysql_fix_extensions help                   1       0            —     20  ok
mysql_install_db help                   1       0            —     20  ok
mysql_plugin     help                   1      12         100%     20  ok
mysql_secure_installation help                  14       0            —  10014  ok
mysql_setpermission help                  29       0            —     40  ok
mysql_tzinfo_to_sql help                   2       6         100%     20  ok
mysql_upgrade    help                   1      36          97%     20  ok
mysql_waitpid    help                   1       4         100%     21  ok
mysqlaccess      help                   7       1         100%     61  ok
mysqladmin       help                  40      38          92%     20  ok
mysqlanalyze     help                   8      53          98%     23  ok
mysqlbinlog      help                   1      60          97%     20  ok
mysqlcheck       help                   8      53          98%     21  ok
mysqld           help                   1       0            —     41  ok
mysqld_multi     help                  21       0            —     40  ok
mysqld_safe      help                   1       0            —     95  ok
mysqld_safe_helper help                   1       0            —     20  ok
mysqldump        help                   1     100          98%     21  ok
mysqldumpslow    help                   1      12         100%     22  ok
mysqlhotcopy     help                   2       1         100%     61  ok
mysqlimport      help                   1      44          98%     20  ok
mysqloptimize    help                   8      53          98%     22  ok
mysqlrepair      help                   8      53          98%      3  ok
mysqlreport      help                   1      15         100%     60  ok
mysqlshow        help                   1      31          97%     21  ok
mysqlslap        help                   1      56          98%     22  ok
mytop            help                   7       0            —     63  ok
namei            help                   1       9         100%     20  ok
nano             carapace+help         56      59         100%      2  ok
nawk             help                   1      28           0%     21  low-confidence
ncurses6-config  help                   1      19         100%     21  ok
ncursesw6-config help                   1      19         100%     22  ok
netaddr          help                   1       0            —    102  ok
netfilter-persistent help                   1       0            —     21  ok
netplan          help                  11       2         100%    103  ok
networkctl       help                  14       5         100%     20  ok
newgrp           help                   1       0            —     22  ok
newusers         help                   1       4         100%     20  ok
nfnl_osf         help                   1       0            —      0  ok
nfsconf          help                   1       9          78%      0  ok
nfsidmap         help                   1       0            —      0  ok
nfsiostat        help                   1       2         100%     40  ok
nfsstat          help                   9       0            —      3  ok
nft              help                   1      22          95%     20  ok
ngettext         help                   1       6         100%     20  ok
nginx            help                   1       0            —     20  ok
nice             carapace+help          5       3         100%     21  ok
nisdomainname    help                  13      10          90%     20  ok
nl               carapace+help          8      13         100%      2  ok
nm               help                   1       0            —      3  ok
nm-online        help                   1       5         100%     21  ok
nmcli            carapace+help         46      19         100%     21  ok
nmtui            help                   1       1         100%     20  ok
nmtui-connect    help                   1       1         100%     20  ok
nmtui-edit       help                   1       1         100%     23  ok
nmtui-hostname   help                   1       1         100%     23  ok
node             carapace+help         35     187          99%     62  ok
nodejs           help                  36     177          99%     65  ok
nohup            carapace+help          5       2         100%     20  ok
nologin          help                   1       0            —     20  ok
not-18           help                   1       0            —     20  ok
npm              carapace+help        130     475         100%    125  ok
nproc            carapace+help         11       4         100%     20  ok
npx              help                   1       0            —    343  ok
nsenter          help                   1      20         100%     20  ok
nstat            help                   1       0            —     20  ok
ntfs-3g          help                   3       0            —     20  ok
ntfs-3g.probe    help                   1       0            —     20  ok
ntfscat          help                   1       0            —     20  ok
ntfsclone        help                   1       5         100%      1  ok
ntfscluster      help                   1       0            —     20  ok
ntfscmp          help                   1       0            —     20  ok
ntfscp           help                   1       0            —     20  ok
ntfsdecrypt      help                   1       0            —     20  ok
ntfsfallocate    help                   1       0            —     20  ok
ntfsfix          help                   1       0            —     20  ok
ntfsinfo         help                   1       0            —     20  ok
ntfslabel        help                   1       0            —     20  ok
ntfsls           help                   1       0            —     20  ok
ntfsmove         help                   1       0            —     20  ok
ntfsrecover      help                   3       0            —     20  ok
ntfsresize       help                   3       0            —     20  ok
ntfssecaudit     help                   5       0            —     20  ok
ntfstruncate     help                   1       0            —     20  ok
ntfsundelete     help                   1       0            —     20  ok
ntfsusermap      help                   1       0            —     20  ok
ntfswipe         help                   1       0            —     20  ok
numfmt           carapace+help         11      17         100%     20  ok
nvidia-detector  help                   1       0            —    908  ok
obj2yaml-18      help                   1       5         100%     20  ok
objcopy          help                   1       0            —     21  ok
objdump          help                  24      14          86%      5  ok
od               carapace+help         26      21         100%     21  ok
oem-getlogs      help                   1       2         100%    141  ok
ollama           carapace+help         15      13         100%     21  ok
opencode         help                  24       5         100%    908  ok
openssl          carapace+help        156     683         100%     29  ok
openvt           help                   1      10         100%     20  ok
opt-18           help                  11     245         100%     21  ok
oslo-config-generator help                   1      12         100%    181  ok
oslo-config-validator help                   1      13         100%    181  ok
pager            help                  65       4           0%     20  low-confidence
pam-auth-update  help               62739       0            —  10051  ok
pam_extrausers_chkpwd help                   1       0            —  10004  ok
pam_extrausers_update help                   1       0            —  10009  ok
pam_getenv       help                   1       0            —     40  ok
pam_namespace_helper help                   1       0            —     40  ok
pam_timestamp_check help                   1       0            —     20  ok
pango-list       help                   1       5         100%     20  ok
pango-segmentation help                   7       4         100%     20  ok
pango-view       help                   1      43         100%     20  ok
paperconf        help                   1       0            —     20  ok
paperconfig      help                   1       2         100%     20  ok
parted           help                  19       8         100%     20  ok
partprobe        help                   1       4         100%     20  ok
partx            help                   7      15         100%     20  ok
passwd           carapace+help          1      15         100%     20  ok
paste            carapace+help          1       5         100%     20  ok
paster3          help                   9       3         100%    202  ok
patch            carapace+help          1      66         100%     20  ok
pathchk          carapace+help          1       5         100%     20  ok
pbr              help                   3       2         100%    161  ok
pcre2-config     help                   1       0            —     20  ok
pdb3             help                  12       0            —     80  ok
pdb3.12          help                  12       0            —     82  ok
peekfd           help                   1       0            —     20  ok
perf             help                   3       0            —     20  ok
perl             help                   1       0            —     20  ok
perl5.38-aarch64-linux-gnu help                   1       0            —     20  ok
perl5.38.2       help                   1       0            —     21  ok
perlbug          help                  13      20          90%    120  ok
perldoc          help                   1       0            —     20  ok
perlivp          help                   3       0            —     80  ok
perlthanks       help                  13      20          90%    120  ok
perror           help                   1       0            —     20  ok
pgrep            carapace+help          1      30         100%     20  ok
pico             help                  56       0            —     20  ok
piconv           help                   3      11         100%     40  ok
pidof            carapace+help          1      17         100%     41  ok
pidwait          carapace+help          1      26         100%     20  ok
pigz             carapace+help          1      48         100%     20  ok
pinentry         help                   1      11         100%     20  ok
pinentry-curses  help                   1      11         100%     20  ok
pinky            carapace+help          2      11         100%     20  ok
pip              carapace+help         28     673         100%    363  ok
pip3             help                  18      25         100%    342  ok
pip3.12          help                  18      25         100%    321  ok
pivot_root       help                   1       2         100%     20  ok
pkaction         help                   1       4         100%     20  ok
pkcheck          help                   1      10          90%     20  ok
pkg-config       help                   1      56         100%     20  ok
pkgconf          help                   1      56         100%     20  ok
pkgdata          help                   5      22         100%     20  ok
pkill            carapace+help          1      29         100%     20  ok
pkttyagent       help                   1       6         100%     20  ok
pl2pm            help                   1       0            —     20  ok
pldd             help                   1       2         100%     20  ok
plog             help                   1       0            —     40  ok
pmap             carapace+help          1      12         100%     20  ok
png-fix-itxt     help                   1       0            —     40  ok
pngfix           help                  56       0            —     20  ok
pod2html         help                  10       0            —     62  ok
pod2man          help                  26       0            —     81  ok
pod2text         help                  21       0            —     60  ok
pod2usage        help                   1       8         100%     60  ok
podchecker       help                   1       3         100%     60  ok
poff             help                   1       0            —     20  ok
pollinate        help                   1       0            —     41  ok
pon              help                  12       0            —     20  ok
poweroff         carapace+help          1       4         100%     20  ok
pppd             help                   1       0            —     20  ok
pppdump          help                   1       0            —     20  ok
pppoe-discovery  help                   1      11         100%     20  ok
pppstats         help                   1       0            —     20  ok
pptp             help                   2      18          17%      1  low-confidence
pptpsetup        help                   1       1           0%     20  low-confidence
pr               carapace+help         25      27         100%     20  ok
printenv         carapace+help          1       3         100%     20  ok
printf           help                  19       2         100%     21  ok
prlimit          help                   3      20         100%     20  ok
pro              help                  16       3         100%    222  ok
procan           help                   2       0            —     20  ok
prove            help                  30       0            —     82  ok
prtstat          help                   1       2         100%     20  ok
ps               carapace+help          2      42         100%     20  ok
psfaddtable      help                   1       0            —     20  ok
psfgettable      help                   1       0            —     20  ok
psfstriptable    help                   1       0            —     20  ok
psfxtable        help                   1       0            —     20  ok
pslog            help                   1       0            —     20  ok
pstree           help                   1      20          95%     20  ok
pstree.x11       help                   1      20          95%     20  ok
ptar             help                  23       0            —     80  ok
ptardiff         help                   9       0            —     60  ok
ptargrep         help                  76       2           0%    100  low-confidence
ptx              carapace+help          1      20         100%     20  ok
pv               help                   1      39         100%     20  ok
pwck             help                   1       6         100%     20  ok
pwconv           help                   1       2         100%     20  ok
pwd              carapace+help          1       4         100%     20  ok
pwdx             carapace+help          1       2         100%     20  ok
pwhistory_helper help                   1       0            —     20  ok
pwunconv         help                   1       2         100%     20  ok
py3clean         help                   1       6         100%     60  ok
py3compile       help                   1       9         100%     60  ok
py3versions      help                   1       8         100%     40  ok
pybabel          help                   5       5         100%    181  ok
pybabel-python3  help                   5       5         100%    181  ok
pydoc3           help                  17       0            —     60  ok
pydoc3.12        help                  17       0            —     82  ok
pygettext3       help                   1      33          52%     42  ok
pygettext3.12    help                   1      33          52%     40  ok
pygmentize       help                   1      19         100%     60  ok
pyserial-miniterm help                   3      17         100%    100  ok
pyserial-ports   help                   2       5         100%    101  ok
python3          carapace+help         12       0            —     20  ok
python3-config   help                   1       0            —     20  ok
python3.11       help                  12       0            —     20  ok
python3.12       help                  12       0            —     20  ok
python3.12-config help                   1       0            —     20  ok
pzstd            help                   1      14         100%      1  ok
qemu-aarch64-static help                  21       2           0%     20  low-confidence
qemu-aarch64_be-static help                  21       2           0%     20  low-confidence
qemu-alpha-static help                  21       2           0%     20  low-confidence
qemu-amd64-static help                  21       2           0%     20  low-confidence
qemu-arm-static  help                  21       2           0%     20  low-confidence
qemu-arm64-static help                  21       2           0%     20  low-confidence
qemu-armeb-static help                  21       2           0%     20  low-confidence
qemu-armel-static help                  21       2           0%     20  low-confidence
qemu-armhf-static help                  21       2           0%     20  low-confidence
qemu-cris-static help                  21       2           0%     20  low-confidence
qemu-debootstrap help                   1       0            —     20  ok
qemu-hexagon-static help                  21       2           0%     20  low-confidence
qemu-hppa-static help                  21       2           0%     20  low-confidence
qemu-i386-static help                  21       2           0%     20  low-confidence
qemu-loong64-static help                  21       2           0%     20  low-confidence
qemu-loongarch64-static help                  21       2           0%     20  low-confidence
qemu-m68k-static help                  21       2           0%     20  low-confidence
qemu-microblaze-static help                  21       2           0%     20  low-confidence
qemu-microblazeel-static help                  21       2           0%     20  low-confidence
qemu-mips-static help                  21       2           0%     20  low-confidence
qemu-mips64-static help                  21       2           0%     20  low-confidence
qemu-mips64el-static help                  21       2           0%     20  low-confidence
qemu-mipsel-static help                  21       2           0%     20  low-confidence
qemu-mipsn32-static help                  21       2           0%     20  low-confidence
qemu-mipsn32el-static help                  21       2           0%     20  low-confidence
qemu-nios2-static help                  21       2           0%     20  low-confidence
qemu-or1k-static help                  21       2           0%     20  low-confidence
qemu-powerpc-static help                  21       2           0%     20  low-confidence
qemu-ppc-static  help                  21       2           0%     20  low-confidence
qemu-ppc64-static help                  21       2           0%     20  low-confidence
qemu-ppc64el-static help                  21       2           0%     20  low-confidence
qemu-ppc64le-static help                  21       2           0%     21  low-confidence
qemu-riscv32-static help                  21       2           0%     20  low-confidence
qemu-riscv64-static help                  21       2           0%     21  low-confidence
qemu-s390x-static help                  21       2           0%     20  low-confidence
qemu-sh4-static  help                  21       2           0%     20  low-confidence
qemu-sh4eb-static help                  21       2           0%     20  low-confidence
qemu-sparc-static help                  21       2           0%     20  low-confidence
qemu-sparc32plus-static help                  21       2           0%     20  low-confidence
qemu-sparc64-static help                  21       2           0%     21  low-confidence
qemu-x86_64-static help                  21       2           0%     20  low-confidence
qemu-xtensa-static help                  21       2           0%     20  low-confidence
qemu-xtensaeb-static help                  21       2           0%     20  low-confidence
qmi-firmware-update help                   1      26         100%     20  ok
qmi-network      help                  24       3         100%     20  ok
qmicli           help                   1      41         100%     20  ok
qt-faststart     help                   1       0            —     20  ok
quirks-handler   help                   1       4         100%     60  ok
ranlib           help                   1       0            —     20  ok
rbash            help                   1      18           0%     20  low-confidence
rdma             help                   2       0            —     20  ok
readelf          help                   1       0            —     20  ok
readlink         carapace+help          1      10         100%     20  ok
readprofile      help                   1      12         100%     20  ok
realpath         help                   8       4         100%     20  ok
reboot           carapace+help          1       4         100%     20  ok
remove-shell     help                   1       0            —     20  ok
rename.ul        help                   1       9         100%     20  ok
renice           help                   1       8         100%     20  ok
replace          help                   1       0            —     20  ok
request-key      help                   1       0            —     20  ok
reset            help                   1      12         100%     20  ok
resize2fs        help                   1       0            —     20  ok
resizepart       help                   1       2         100%     20  ok
resolvconf       help                   1       5         100%     20  ok
resolve_stack_dump help                   1       0            —     20  ok
resolvectl       help                  23       8         100%     20  ok
resolveip        help                   1       0            —     20  ok
rev              help                   1       2         100%     20  ok
rg               carapace+help          3     120         100%     22  ok
rgrep            help                   1      36         100%     20  ok
rls              help                   1       0            —    140  ok
rm               carapace+help          3      13         100%     20  ok
rmdir            carapace+help          2       5         100%     20  ok
rmiregistry      help                   1       1           0%    163  low-confidence
rmmod            carapace+help          1       5         100%     20  ok
rmt              help                   1       2         100%     20  ok
rmt-tar          help                   1       2         100%     20  ok
rnano            help                  48       0            —     20  ok
rootlesskit      help                  18       0            —     20  ok
routel           help                   1       0            —     40  ok
rpc.gssd         help                   1       0            —     20  ok
rpc.idmapd       help                   1       0            —     20  ok
rpc.statd        help                   1       0            —     20  ok
rpc.svcgssd      help                   1       0            —     20  ok
rpcbind          help                   1       0            —     20  ok
rpcctl           help                   2       1         100%     60  ok
rpcdebug         help                   1       0            —    140  ok
rpcgen           help                   1       0            —     20  ok
rpcinfo          help                   1       0            —     20  ok
rrsync           help                   1       0            —     60  ok
rst-buildhtml    help                 122       0            —    181  ok
rst2html         help                 114       0            —    162  ok
rst2html4        help                 114       0            —    161  ok
rst2html5        help                 109       0            —    166  ok
rst2latex        help                 134       0            —    122  ok
rst2man          help                  70       0            —     80  ok
rst2odt          help                 100       0            —    161  ok
rst2odt_prepstyles help                   1       0            —    141  ok
rst2pseudoxml    help                  70       0            —    100  ok
rst2s5           help                 125       1         100%    161  ok
rst2xetex        help                 131       0            —    120  ok
