tool             tier(s)            nodes   flags   %described     ms  status
batcat           help                   2      14         100%     20  ok
bdftopcf         help                   1       0            —     20  ok
bdftruncate      help                   1       0            —     20  ok
blkdeactivate    help                   4       0            —     20  ok
blkdiscard       help                   2      10         100%     20  ok
blkid            help                   5      20         100%     20  ok
blkmapd          help                   1       0            —     20  ok
blkzone          help                   8       7          86%     20  ok
blockdev         help                   1      26         100%     20  ok
boltctl          help                  10       3         100%     20  ok
bpftool          help                   3       0            —     20  ok
bridge           help                   2       0            —     20  ok
broadwayd        help                   1       6         100%     20  ok
bugpoint-18      help                  11     196          99%     21  ok
bunzip2          help                   3       0            —     20  ok
busctl           help                  12       6         100%     20  ok
bzcat            help                   3       0            —     20  ok
bzcmp            help                   1       0            —     20  ok
bzdiff           help                   1       0            —     20  ok
bzegrep          help                   1       0            —     20  ok
bzexe            help                   1       0            —     20  ok
bzfgrep          help                   1       0            —     20  ok
bzgrep           help                   1       0            —     20  ok
bzip2            help                   3       0            —     20  ok
bzip2recover     help                   1       0            —     20  ok
bzless           help                   1       0            —     20  ok
bzmore           help                   1       0            —     20  ok
c++              help                   3      43          95%     20  ok
c++filt          help                  12       0            —     20  ok
c89              help                   3      43          95%     20  ok
c89-gcc          help                   3      43          95%     20  ok
c99              help                   3      43          95%     20  ok
c99-gcc          help                   3      43          95%     20  ok
c_rehash         help                   1       0            —     20  ok
capsh            help                   1       0            —     20  ok
captoinfo        help                   2      28         100%     20  ok
cargo            carapace+help         48     828         100%     28  ok
cargo-clippy     carapace+help          2      13         100%     22  ok
cargo-fmt        carapace+help          2       8         100%     20  ok
cargo-miri       help                   1       0            —    162  ok
cat              carapace+help          1      10         100%     20  ok
cc               help                   3      43          95%     20  ok
certbot          help                  27       5         100%    323  ok
cfdisk           carapace+help          1       7         100%     20  ok
cgi-fcgi         help                   1       0            —     20  ok
chage            help                   1      10         100%     20  ok
chardet          help                   2       4         100%     61  ok
chardetect       help                   2       4         100%     60  ok
chat             help                   1       0            —      0  ok
chattr           help                   1       0            —      0  ok
chcon            help                   1       7         100%     20  ok
chcpu            carapace+help          1       8         100%     20  ok
check-and-update help                   1       0            —     20  ok
chfn             help                   1       7         100%     20  ok
chgpasswd        help                   1       6         100%     20  ok
chgrp            carapace+help          1      16         100%     20  ok
chmem            help                   7       7         100%     20  ok
chmod            carapace+help          1      15         100%      1  ok
choom            help                   1       4         100%     20  ok
chown            carapace+help          1      16         100%     20  ok
chpasswd         carapace+help          1       6         100%     20  ok
chroot           carapace+help          5       5         100%      1  ok
chrt             help                   4      16          94%      0  ok
chsh             carapace+help          1       5         100%     20  ok
chvt             help                   1       2         100%      0  ok
ckbcomp          help                   2       0            —     20  ok
cksum            carapace+help         12      16         100%      1  ok
clang            help                   1    1080          96%     25  ok
clang++          help                   1    1080          96%     24  ok
